Fecha,Plataforma,Tipo,Descripcion,Archivo_contenido,Hashtags
2026-05-18,YouTube,Video largo,Como conseguir tu primer cliente online,videos/lunes_s2_script_primer_cliente.md,#autonomoespana #freelance #conseguirclientes
2026-05-18,Instagram,Post imagen,Tu primer cliente online: 4 pasos,posts_img/lunes-s2-post-instagram.html,#autonomoespana #primercliente #freelance
2026-05-18,Instagram,Caption,Caption lunes semana 2,redes/lunes_s2_caption_instagram.txt,#autonomo #emprender #primercliente
2026-05-19,TikTok,Reel/Short,Cuanto cobrar como autonomo: la formula en 60s,videos/martes_s2_script_reel_precios.md,#autonomo #cuantocobrar #freelance #dinero
2026-05-19,Instagram,Reel,Cuanto cobrar como autonomo: la formula real,videos/martes_s2_script_reel_precios.md,#precios #autonomo #freelanceespana
2026-05-19,Instagram,Post imagen,Formula cuanto cobrar,posts_img/martes-s2-post-precios.html,#tarifas #autonomo #cuantocobrar
2026-05-20,Instagram,Carousel,3 errores de precio que alejan tus mejores clientes,posts/miercoles_s2_carousel_instagram.md,#precios #freelance #negocio
2026-05-20,LinkedIn,Articulo,Por que los autonomos que mas trabajan no son los que mas ganan,redes/miercoles_s2_post_linkedin.txt,#autonomos #freelance #pricing
2026-05-21,YouTube,Video largo,Propuesta de servicios que cierra ventas,videos/jueves_s2_script_propuesta_servicios.md,#propuesta #ventas #autonomo #cerrarventas
2026-05-21,Instagram,Post imagen,Propuesta que cierra ventas: 5 partes,posts_img/jueves-s2-post-propuesta.html,#ventas #propuesta #freelance
2026-05-21,Email,Newsletter,La propuesta que casi nunca mandan,emails/jueves_s2_newsletter.md,
2026-05-22,Instagram,Post texto,Resumen semana 2 + teaser semana 3,redes/viernes_s2_caption_instagram.txt,#autonomoespana #semana2 #resumen
2026-05-22,TikTok,Teaser,Teaser semana 3: productividad del autonomo,videos/viernes_s2_script_teaser_semana3.md,#autonomo #productividad #teaser
